docSeqNo,name,measure,calcium
247,"Squash, summer, zucchini, includes skin, cooked, boiled, drained","1.0 cups, sliced",32
248,"Cream, fluid, half and half","1.0 fl oz",32
249,"Egg substitute, powder","0.35 oz",32
250,"Fish, flatfish (flounder and sole species), cooked, dry heat","1.0 fillet",32
251,"Fish, tuna, skipjack, fresh, cooked, dry heat","3.0 oz",31
252,"Crackers, wheat, regular","16.0 crackers",31
253,"Beans, kidney, mature seeds, sprouted, raw","1.0 cups",31
254,"Snacks, potato chips, made from dried potatoes, cheese-flavor","1.0 oz",31
255,"Noodles, egg, spinach, enriched, cooked","1.0 cups",30
256,"Drumstick pods, raw","1.0 cups slices",30
257,"Blackberry juice, canned","1.0 cups",30
258,"Spices, savory, ground","1.0 tsp",30
259,"Spinach, raw","1.0 cups",30
260,"Onions, sweet, raw","1.0 NLEA serving",30
261,"Biscuits, plain or buttermilk, refrigerated dough, higher fat","1.0 biscuit",30
262,"Radishes, raw","1.0 cups slices",29
263,"Papayas, raw","1.0 cups 1"" pieces",29
264,"Crackers, wheat, sandwich, with cheese filling","0.5 oz",29
265,"Macaroni, vegetable, enriched, dry","1.0 cups spiral shaped",29
266,"Egg, whole, cooked, fried","1.0 large",29
267,"Cereals ready-to-eat, POST, Shredded Wheat, original spoon-size","1.0 cups",28
268,"Passion-fruit, (granadilla), purple, raw","1.0 cups",28
269,"Crustaceans, crab, queen, cooked, moist heat","3.0 oz",28
270,"Chicken, broiler, rotisserie, BBQ, back meat only","3.0 oz",28
271,"Egg, whole, cooked, poached","1.0 large",28
272,"Egg, whole, raw, fresh","1.0 large",28
273,"Purslane, raw","1.0 cups",28
274,"Bread, stuffing, dry mix","1.0 oz",27
275,"Pomegranate juice, bottled","1.0 cups",27
276,"Cream, fluid, light (coffee cream or table cream)","1.0 fl oz",27
277,"Cherries, sweet, canned, water pack, solids and liquids","1.0 cups, pitted",27
278,"Turkey, all classes, leg, meat and skin, cooked, roasted","3.0 oz",27
279,"Beef, shank crosscuts, separable lean only, trimmed to 1/4"" fat","3.0 oz",27
280,"Soup, onion, canned, condensed","0.5 cups",27
281,"Bologna, pork and turkey, lite","1.0 serving 2 oz",27
282,"Soup, pea, green, canned, condensed","0.5 cups",27
283,"Bread, reduced-calorie, white","1.0 oz",27
284,"Pasta, whole-wheat, dry","1.0 cups spaghetti",26
285,"Turkey, ground, 93% lean, 7% fat, pan-broiled crumbles","3.0 oz",26
286,"Cereals ready-to-eat, POST, Shredded Wheat, original big biscuit","2.0 biscuits",26
287,"Spices, cinnamon, ground","1.0 tsp",26
288,"Beef, loin, top loin, separable lean and fat, trimmed to 1/8"" fat","4.0 oz",26
289,"Fish, scup, cooked, dry heat","1.0 fillet",26
290,"Snacks, granola bars, soft, uncoated, peanut butter","1.0 bar",25
291,"Bread, pound cake type, pan de torta salvadoran","1.0 serving",25
292,"Chicken, broilers or fryers, dark meat, meat only, cooked, fried","1.0 cups",25
293,"Cherries, sour, red, canned, light syrup pack, solids and liquids","1.0 cups",25
294,"Tamarind nectar, canned","1.0 cups",25
295,"Beef, tenderloin, steak, separable lean and fat, trimmed to 1/8"" fat","4.0 oz",25
296,"Muffin, blueberry, commercially prepared, low-fat","1.0 muffin small",25
297,"Chicken, gizzard, all classes, cooked, simmered","1.0 cups chopped",25
298,"Chicory roots, raw","1.0 root",25
299,"Soup, chicken, canned, chunky, ready-to-serve","1.0 cups",24
300,"Grapes, canned, thompson seedless, water pack, solids and liquids","1.0 cups",24
301,"Tomato products, canned, sauce, with tomato tidbits","1.0 cups",24
302,"Tomato juice, canned, without salt added","1.0 cups",24
303,"Tomato juice, canned, with salt added","1.0 cups",24
